Shape,Nanoparticle,Dissolution,Surface area,Surface charge,Surface coatings,Surface reactivity,Aggregation,Particle size,Administration route,Study type,Cytotoxicity,Neurological effects,Pulmonary effects,Fibrosis,RCNS effects,Immunological effects,Genotoxicity,Inflammation,NM Hazard
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,Intravenous,In vivo,,,,,,,,Low,Low
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,High,,,,,,,,High
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,High,,,,,,,,High
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,,,,,,,,Medium,Medium
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,,,,,,,,Low,Low
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,,,,,,,,Low,Low
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,,,,,,,,Medium,Medium
Sphere,Ag,0 to 25%,15 - 51,,,,Medium,10 to 50,,In vitro,,,,,,,,Medium,Medium
Irregular,CeO2,,51 - 101.25,,,,Medium,10 to 50,Inhalation,In vivo,,,Medium,,,,,Medium,High
